"CountyName","LocationName","Data_Value","geometry"
"Orange",6059052505,0.223,"POINT (-117.7753374 33.6925839)"
"Orange",6059032042,0.258,"POINT (-117.5682677 33.6539944)"
"Orange",6059001705,0.262,"POINT (-117.9402667 33.9117646)"
"Napa",6055200707,0.267,"POINT (-122.3205427 38.3234476)"
"Monterey",6053012700,0.265,"POINT (-121.8947009 36.6020796)"
"Napa",6055200602,0.297,"POINT (-122.2995123 38.334581)"
"Orange",6059062611,0.225,"POINT (-117.8339404 33.6639878)"
"Napa",6055201402,0.256,"POINT (-122.2323461 38.3371786)"
"Orange",6059011714,0.275,"POINT (-117.8519526 33.8561655)"
"Orange",6059001401,0.308,"POINT (-117.9410039 33.940824)"
"Orange",6059032035,0.238,"POINT (-117.6437788 33.6373238)"
"Orange",6059021915,0.218,"POINT (-117.8118234 33.8443711)"
"Orange",6059052513,0.215,"POINT (-117.7893209 33.678779)"
"Orange",6059042337,0.238,"POINT (-117.6868669 33.5025259)"
"Orange",6059021820,0.228,"POINT (-117.8282551 33.8764203)"
"Orange",6059021827,0.227,"POINT (-117.7311788 33.8939942)"
"Monterey",6053011901,0.243,"POINT (-121.942244 36.5783772)"
"Napa",6055201500,0.276,"POINT (-122.4672115 38.4765085)"
"Nevada",6057000401,0.269,"POINT (-121.1801765 39.24605)"
"Napa",6055201101,0.261,"POINT (-122.3458092 38.3068422)"
"Orange",6059001101,0.271,"POINT (-117.9631381 33.9427647)"
"Orange",6059063008,0.22,"POINT (-117.8780261 33.6149296)"
"Monterey",6053011106,0.307,"POINT (-121.2981854 36.4616023)"
